Backend,Circuit,Execution Time (s)_2.4.2,Execution Time (s)_2.5.2,Execution Time (s)_Abs_Delta,Execution Time (s)_%_Change,Total Gates_2.4.2,Total Gates_2.5.2,Total Gates_Abs_Delta,Total Gates_%_Change,2Q Gate Count_2.4.2,2Q Gate Count_2.5.2,2Q Gate Count_Abs_Delta,2Q Gate Count_%_Change,Total Depth_2.4.2,Total Depth_2.5.2,Total Depth_Abs_Delta,Total Depth_%_Change,2Q Depth_2.4.2,2Q Depth_2.5.2,2Q Depth_Abs_Delta,2Q Depth_%_Change,Successful_Runs_2.4.2,Successful_Runs_2.5.2,Successful_Runs_Abs_Delta
Nighthawk_120Q,bv_n14.qasm,0.04,0.07,0.03,75.0,60.6,63.6,3.0,4.95,17.6,20.6,3.0,17.05,21.2,23.8,2.6,12.26,17.2,19.8,2.6,15.12,10,10,0
Nighthawk_120Q,bv_n19.qasm,0.17,2.28,2.11,1241.18,84.3,87.0,2.7,3.2,26.3,29.0,2.7,10.27,29.3,32.3,3.0,10.24,25.3,28.3,3.0,11.86,10,10,0
Nighthawk_120Q,bv_n30.qasm,0.21,0.21,0.0,0.0,116.8,121.9,5.1,4.37,25.8,30.9,5.1,19.77,28.4,33.8,5.4,19.01,24.4,29.8,5.4,22.13,10,10,0
Nighthawk_120Q,bv_n70.qasm,5.45,5.48,0.03,0.55,273.0,281.4,8.4,3.08,62.0,70.4,8.4,13.55,55.3,70.9,15.6,28.21,51.3,66.9,15.6,30.41,10,10,0
Nighthawk_120Q,cat_n35.qasm,0.07,0.07,0.0,0.0,71.0,71.0,0.0,0.0,34.0,34.0,0.0,0.0,36.0,36.0,0.0,0.0,34.0,34.0,0.0,0.0,10,10,0
Nighthawk_120Q,cat_n65.qasm,0.07,0.07,0.0,0.0,131.0,131.0,0.0,0.0,64.0,64.0,0.0,0.0,66.0,66.0,0.0,0.0,64.0,64.0,0.0,0.0,10,10,0
Nighthawk_120Q,cat_state_n22.qasm,0.07,0.07,0.0,0.0,45.0,45.0,0.0,0.0,21.0,21.0,0.0,0.0,23.0,23.0,0.0,0.0,21.0,21.0,0.0,0.0,10,10,0
Nighthawk_120Q,cat_state_n4.qasm,0.01,0.01,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,10,10,0
Nighthawk_120Q,cc_n12.qasm,0.07,0.07,0.0,0.0,64.8,66.3,1.5,2.31,15.8,17.3,1.5,9.49,42.3,43.8,1.5,3.55,15.3,16.8,1.5,9.8,10,10,0
Nighthawk_120Q,cc_n32.qasm,0.71,8.22,7.51,1057.75,181.3,190.4,9.1,5.02,52.3,61.4,9.1,17.4,112.9,126.2,13.3,11.78,45.9,59.2,13.3,28.98,10,10,0
Nighthawk_120Q,cc_n64.qasm,8.48,1.48,-7.0,-82.55,378.1,400.7,22.6,5.98,121.1,143.7,22.6,18.66,230.1,266.7,36.6,15.91,99.1,135.7,36.6,36.93,10,10,0
Nighthawk_120Q,deutsch_n2.qasm,0.01,0.01,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,10,10,0
Nighthawk_120Q,dnn_n16.qasm,0.06,0.06,0.0,0.0,64.0,64.0,0.0,0.0,48.0,48.0,0.0,0.0,7.0,7.0,0.0,0.0,6.0,6.0,0.0,0.0,10,10,0
Nighthawk_120Q,dnn_n2.qasm,0.01,0.01,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,10,10,0
Nighthawk_120Q,dnn_n33.qasm,0.72,0.06,-0.66,-91.67,922.5,929.3,6.8,0.74,230.5,237.3,6.8,2.95,385.8,392.5,6.7,1.74,117.3,119.6,2.3,1.96,10,10,0
Nighthawk_120Q,dnn_n51.qasm,1.82,0.07,-1.75,-96.15,1456.1,1472.8,16.7,1.15,376.1,392.8,16.7,4.44,603.0,617.5,14.5,2.4,184.2,191.2,7.0,3.8,10,10,0
Nighthawk_120Q,dnn_n8.qasm,0.03,0.02,-0.01,-33.33,32.0,32.0,0.0,0.0,24.0,24.0,0.0,0.0,7.0,7.0,0.0,0.0,6.0,6.0,0.0,0.0,10,10,0
Nighthawk_120Q,error_correctiond3_n5.qasm,0.01,0.01,0.0,0.0,99.0,99.0,0.0,0.0,36.0,36.0,0.0,0.0,61.0,61.0,0.0,0.0,34.0,34.0,0.0,0.0,10,10,0
Nighthawk_120Q,fredkin_n3.qasm,0.01,0.01,0.0,0.0,24.0,24.0,0.0,0.0,10.0,10.0,0.0,0.0,14.5,14.7,0.2,1.38,9.9,10.0,0.1,1.01,10,10,0
Nighthawk_120Q,gcm_h6.qasm,0.1,0.06,-0.04,-40.0,1508.5,1466.8,-41.7,-2.76,610.5,593.8,-16.7,-2.74,1196.0,1213.9,17.9,1.5,567.2,555.2,-12.0,-2.12,10,10,0
Nighthawk_120Q,ghz_n40.qasm,0.07,0.07,0.0,0.0,81.0,81.0,0.0,0.0,39.0,39.0,0.0,0.0,41.0,41.0,0.0,0.0,39.0,39.0,0.0,0.0,10,10,0
Nighthawk_120Q,ghz_n78.qasm,0.08,0.07,-0.01,-12.5,157.0,157.0,0.0,0.0,77.0,77.0,0.0,0.0,79.0,79.0,0.0,0.0,77.0,77.0,0.0,0.0,10,10,0
Nighthawk_120Q,ghz_state_n23.qasm,0.07,0.07,0.0,0.0,47.0,47.0,0.0,0.0,22.0,22.0,0.0,0.0,24.0,24.0,0.0,0.0,22.0,22.0,0.0,0.0,10,10,0
Nighthawk_120Q,grover_n2.qasm,0.01,0.01,0.0,0.0,14.0,14.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,10,10,0
Nighthawk_120Q,hs4_n4.qasm,0.01,0.01,0.0,0.0,20.0,20.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,10,10,0
Nighthawk_120Q,inverseqft_n4.qasm,0.01,0.01,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,,12.0,12.0,0.0,0.0,0.0,0.0,0.0,,10,10,0
Nighthawk_120Q,ipea_n2.qasm,0.02,0.02,0.0,0.0,41.0,41.0,0.0,0.0,15.0,15.0,0.0,0.0,41.0,41.0,0.0,0.0,15.0,15.0,0.0,0.0,10,10,0
Nighthawk_120Q,ising_n10.qasm,0.03,0.03,0.0,0.0,340.0,340.0,0.0,0.0,90.0,90.0,0.0,0.0,54.0,54.0,0.0,0.0,20.0,20.0,0.0,0.0,10,10,0
Nighthawk_120Q,ising_n26.qasm,0.07,0.07,0.0,0.0,166.0,166.0,0.0,0.0,50.0,50.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,10,10,0
Nighthawk_120Q,ising_n34.qasm,0.07,0.07,0.0,0.0,218.0,218.0,0.0,0.0,66.0,66.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,10,10,0
Nighthawk_120Q,ising_n42.qasm,0.08,0.08,0.0,0.0,270.0,270.0,0.0,0.0,82.0,82.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,10,10,0
Nighthawk_120Q,ising_n66.qasm,0.08,0.07,-0.01,-12.5,426.0,426.0,0.0,0.0,130.0,130.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,10,10,0
Nighthawk_120Q,ising_n98.qasm,0.07,0.07,0.0,0.0,634.0,634.0,0.0,0.0,194.0,194.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,10,10,0
Nighthawk_120Q,iswap_n2.qasm,0.01,0.01,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,10,10,0
Nighthawk_120Q,knn_n25.qasm,0.74,0.05,-0.69,-93.24,599.6,610.0,10.4,1.73,115.6,126.0,10.4,9.0,288.4,286.5,-1.9,-0.66,82.0,88.1,6.1,7.44,10,10,0
Nighthawk_120Q,knn_n31.qasm,3.36,0.95,-2.41,-71.73,751.7,769.1,17.4,2.31,147.7,165.1,17.4,11.78,348.5,368.3,19.8,5.68,102.0,115.6,13.6,13.33,10,10,0
Nighthawk_120Q,knn_n41.qasm,7.78,2.21,-5.57,-71.59,1003.1,1025.3,22.2,2.21,199.1,221.3,22.2,11.15,463.8,492.8,29.0,6.25,136.7,151.8,15.1,11.05,10,10,0
Nighthawk_120Q,knn_n67.qasm,4.23,0.1,-4.13,-97.64,1667.6,1710.3,42.7,2.56,343.6,386.3,42.7,12.43,770.0,815.5,45.5,5.91,232.3,261.7,29.4,12.66,10,10,0
Nighthawk_120Q,linearsolver_n3.qasm,0.01,0.01,0.0,0.0,18.0,18.0,0.0,0.0,4.0,4.0,0.0,0.0,12.0,12.0,0.0,0.0,4.0,4.0,0.0,0.0,10,10,0
Nighthawk_120Q,lpn_n5.qasm,0.01,0.01,0.0,0.0,12.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,10,10,0
Nighthawk_120Q,multiplier_n15.qasm,0.04,0.02,-0.02,-50.0,1378.0,1379.0,1.0,0.07,318.0,319.0,1.0,0.31,726.3,749.3,23.0,3.17,197.5,198.8,1.3,0.66,10,10,0
Nighthawk_120Q,multiplier_n45.qasm,0.42,0.13,-0.29,-69.05,14689.6,14762.9,73.3,0.5,3634.6,3707.9,73.3,2.02,7247.0,7470.2,223.2,3.08,2005.5,2044.2,38.7,1.93,10,10,0
Nighthawk_120Q,multiplier_n75.qasm,1.24,0.38,-0.86,-69.35,42297.8,42529.6,231.8,0.55,10733.8,10965.6,231.8,2.16,20749.5,20839.8,90.3,0.44,5781.6,5791.3,9.7,0.17,10,10,0
Nighthawk_120Q,multiply_n13.qasm,0.02,0.01,-0.01,-50.0,240.0,241.3,1.3,0.54,50.0,51.3,1.3,2.6,129.6,127.7,-1.9,-1.47,34.7,34.3,-0.4,-1.15,10,10,0
Nighthawk_120Q,pea_n5.qasm,0.02,0.02,0.0,0.0,36.0,36.0,0.0,0.0,24.0,24.0,0.0,0.0,28.7,28.3,-0.4,-1.39,24.0,23.9,-0.1,-0.42,10,10,0
Nighthawk_120Q,qaoa_n3.qasm,0.01,0.01,0.0,0.0,19.0,19.0,0.0,0.0,7.0,7.0,0.0,0.0,12.9,13.0,0.1,0.78,6.9,7.0,0.1,1.45,10,10,0
Nighthawk_120Q,qaoa_n6.qasm,0.01,0.01,0.0,0.0,30.0,30.0,0.0,0.0,24.0,24.0,0.0,0.0,18.7,18.0,-0.7,-3.74,17.7,17.0,-0.7,-3.95,10,10,0
Nighthawk_120Q,qec9xz_n17.qasm,0.02,0.02,0.0,0.0,72.3,74.2,1.9,2.63,43.3,45.2,1.9,4.39,27.1,26.9,-0.2,-0.74,20.5,20.6,0.1,0.49,10,10,0
Nighthawk_120Q,qec_en_n5.qasm,0.01,0.01,0.0,0.0,28.0,28.0,0.0,0.0,10.0,10.0,0.0,0.0,16.0,16.0,0.0,0.0,10.0,10.0,0.0,0.0,10,10,0
Nighthawk_120Q,qec_sm_n5.qasm,0.01,0.01,0.0,0.0,14.0,14.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,10,10,0
Nighthawk_120Q,qf21_n15.qasm,0.03,0.02,-0.01,-33.33,249.2,246.7,-2.5,-1.0,103.2,100.7,-2.5,-2.42,182.5,183.6,1.1,0.6,92.0,91.6,-0.4,-0.43,10,10,0
Nighthawk_120Q,qft_n18.qasm,0.05,0.02,-0.03,-60.0,749.1,757.7,8.6,1.15,389.1,397.7,8.6,2.21,207.3,229.3,22.0,10.61,123.4,138.3,14.9,12.07,10,10,0
Nighthawk_120Q,qft_n29.qasm,0.11,0.04,-0.07,-63.64,1776.2,1796.7,20.5,1.15,967.2,987.7,20.5,2.12,496.1,493.5,-2.6,-0.52,306.2,305.0,-1.2,-0.39,10,10,0
Nighthawk_120Q,qft_n4.qasm,0.01,0.01,0.0,0.0,19.0,19.0,0.0,0.0,8.0,8.0,0.0,0.0,12.0,12.9,0.9,7.5,7.5,7.7,0.2,2.67,10,10,0
Nighthawk_120Q,qft_n63.qasm,0.3,0.12,-0.18,-60.0,5032.3,5126.8,94.5,1.88,2829.3,2923.8,94.5,3.34,1303.5,1289.0,-14.5,-1.11,822.5,818.7,-3.8,-0.46,10,10,0
Nighthawk_120Q,qpe_n9.qasm,0.02,0.01,-0.01,-50.0,121.1,120.1,-1.0,-0.83,38.1,37.1,-1.0,-2.62,87.7,84.9,-2.8,-3.19,35.9,34.5,-1.4,-3.9,10,10,0
Nighthawk_120Q,qram_n20.qasm,0.03,0.02,-0.01,-33.33,776.6,781.0,4.4,0.57,178.6,183.0,4.4,2.46,413.4,425.9,12.5,3.02,112.7,115.7,3.0,2.66,10,10,0
Nighthawk_120Q,qrng_n4.qasm,0.01,0.01,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,10,10,0
Nighthawk_120Q,quantumwalks_n2.qasm,0.01,0.01,0.0,0.0,13.0,13.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,10,10,0
Nighthawk_120Q,qugan_n39.qasm,0.39,0.06,-0.33,-84.62,1062.2,1078.9,16.7,1.57,280.2,296.9,16.7,5.96,479.3,469.3,-10.0,-2.09,142.1,147.3,5.2,3.66,10,10,0
Nighthawk_120Q,qugan_n71.qasm,0.17,0.09,-0.08,-47.06,1982.7,2020.7,38.0,1.92,544.7,582.7,38.0,6.98,843.4,876.5,33.1,3.92,255.6,273.7,18.1,7.08,10,10,0
Nighthawk_120Q,sat_n11.qasm,0.04,0.02,-0.02,-50.0,1570.0,1573.8,3.8,0.24,319.0,322.8,3.8,1.19,1064.1,1115.2,51.1,4.8,236.2,251.9,15.7,6.65,10,10,0
Nighthawk_120Q,sat_n7.qasm,0.02,0.01,-0.01,-50.0,403.0,401.3,-1.7,-0.42,77.0,75.3,-1.7,-2.21,236.3,251.0,14.7,6.22,61.9,59.9,-2.0,-3.23,10,10,0
Nighthawk_120Q,seca_n11.qasm,0.02,0.01,-0.01,-50.0,382.3,382.2,-0.1,-0.03,101.3,101.2,-0.1,-0.1,164.4,170.3,5.9,3.59,52.3,54.8,2.5,4.78,10,10,0
Nighthawk_120Q,shor_n5.qasm,0.02,0.01,-0.01,-50.0,164.0,162.8,-1.2,-0.73,37.0,35.8,-1.2,-3.24,131.1,132.0,0.9,0.69,35.3,35.4,0.1,0.28,10,10,0
Nighthawk_120Q,simon_n6.qasm,0.01,0.01,0.0,0.0,98.0,98.1,0.1,0.1,17.0,17.1,0.1,0.59,70.7,70.9,0.2,0.28,16.4,16.4,0.0,0.0,10,10,0
Nighthawk_120Q,square_root_n18.qasm,0.15,0.05,-0.1,-66.67,5238.4,5293.5,55.1,1.05,1229.4,1284.5,55.1,4.48,3323.0,3457.5,134.5,4.05,835.8,883.6,47.8,5.72,10,10,0
Nighthawk_120Q,swap_test_n25.qasm,0.73,0.05,-0.68,-93.15,599.6,610.0,10.4,1.73,115.6,126.0,10.4,9.0,288.4,286.5,-1.9,-0.66,82.0,88.1,6.1,7.44,10,10,0
Nighthawk_120Q,swap_test_n41.qasm,8.08,2.27,-5.81,-71.91,1003.1,1025.3,22.2,2.21,199.1,221.3,22.2,11.15,463.8,492.8,29.0,6.25,136.7,151.8,15.1,11.05,10,10,0
Nighthawk_120Q,swap_test_n83.qasm,4.08,0.07,-4.01,-98.28,2078.5,2124.3,45.8,2.2,434.5,480.3,45.8,10.54,951.8,1008.5,56.7,5.96,290.0,320.0,30.0,10.34,10,10,0
Nighthawk_120Q,teleportation_n3.qasm,0.01,0.01,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,10,10,0
Nighthawk_120Q,toffoli_n3.qasm,0.01,0.01,0.0,0.0,20.0,20.0,0.0,0.0,7.0,7.0,0.0,0.0,14.8,14.6,-0.2,-1.35,7.0,7.0,0.0,0.0,10,10,0
Nighthawk_120Q,variational_n4.qasm,0.01,0.01,0.0,0.0,8.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,10,10,0
Nighthawk_120Q,vqe_n4.qasm,0.01,0.01,0.0,0.0,78.0,78.0,0.0,0.0,9.0,9.0,0.0,0.0,24.0,24.0,0.0,0.0,7.0,7.0,0.0,0.0,10,10,0
Nighthawk_120Q,wstate_n27.qasm,0.07,0.07,0.0,0.0,133.0,133.0,0.0,0.0,52.0,52.0,0.0,0.0,55.0,55.0,0.0,0.0,28.0,28.0,0.0,0.0,10,10,0
Nighthawk_120Q,wstate_n3.qasm,0.01,0.01,0.0,0.0,46.0,46.0,0.0,0.0,10.0,10.0,0.0,0.0,34.8,35.5,0.7,2.01,9.5,9.7,0.2,2.11,10,10,0
Nighthawk_120Q,wstate_n36.qasm,0.07,0.06,-0.01,-14.29,178.0,178.0,0.0,0.0,70.0,70.0,0.0,0.0,73.0,73.0,0.0,0.0,37.0,37.0,0.0,0.0,10,10,0
Nighthawk_120Q,wstate_n76.qasm,0.07,0.07,0.0,0.0,378.0,378.0,0.0,0.0,150.0,150.0,0.0,0.0,153.0,153.0,0.0,0.0,77.0,77.0,0.0,0.0,10,10,0
Sherbrooke_127Q,adder_n10.qasm,0.02,0.01,-0.01,-50.0,372.6,369.0,-3.6,-0.97,83.6,80.0,-3.6,-4.31,225.1,222.8,-2.3,-1.02,74.1,69.8,-4.3,-5.8,10,10,0
Sherbrooke_127Q,adder_n28.qasm,0.05,0.02,-0.03,-60.0,1148.3,1139.2,-9.1,-0.79,269.3,260.2,-9.1,-3.38,443.4,441.2,-2.2,-0.5,145.6,140.1,-5.5,-3.78,10,10,0
Sherbrooke_127Q,adder_n4.qasm,0.01,0.01,0.0,0.0,29.0,29.0,0.0,0.0,12.0,12.0,0.0,0.0,14.0,14.0,0.0,0.0,8.0,8.0,0.0,0.0,10,10,0
Sherbrooke_127Q,adder_n64.qasm,0.15,0.07,-0.08,-53.33,2719.1,2703.5,-15.6,-0.57,672.1,656.5,-15.6,-2.32,875.7,915.6,39.9,4.56,292.9,303.5,10.6,3.62,10,10,0
Sherbrooke_127Q,basis_change_n3.qasm,0.01,0.01,0.0,0.0,36.0,36.0,0.0,0.0,10.0,10.0,0.0,0.0,22.0,22.0,0.0,0.0,10.0,10.0,0.0,0.0,10,10,0
Sherbrooke_127Q,basis_test_n4.qasm,0.01,0.01,0.0,0.0,11.0,11.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,10,10,0
Sherbrooke_127Q,basis_trotter_n4.qasm,0.02,0.01,-0.01,-50.0,146.0,143.8,-2.2,-1.51,132.0,129.8,-2.2,-1.67,143.0,130.7,-12.3,-8.6,132.0,120.7,-11.3,-8.56,10,10,0
Sherbrooke_127Q,bb84_n8.qasm,0.01,0.01,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,10,10,0
Sherbrooke_127Q,bell_n4.qasm,0.01,0.01,0.0,0.0,13.0,13.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,10,10,0
Sherbrooke_127Q,bigadder_n18.qasm,0.03,0.01,-0.02,-66.67,750.9,750.0,-0.9,-0.12,175.9,175.0,-0.9,-0.51,358.0,362.6,4.6,1.28,125.8,122.1,-3.7,-2.94,10,10,0
Sherbrooke_127Q,bv_n14.qasm,0.01,0.01,0.0,0.0,64.4,65.8,1.4,2.17,21.4,22.8,1.4,6.54,24.4,25.2,0.8,3.28,20.4,21.2,0.8,3.92,10,10,0
Sherbrooke_127Q,bv_n19.qasm,0.01,0.01,0.0,0.0,88.6,90.0,1.4,1.58,30.6,32.0,1.4,4.58,33.3,35.5,2.2,6.61,29.3,31.5,2.2,7.51,10,10,0
Sherbrooke_127Q,bv_n30.qasm,0.02,0.01,-0.01,-50.0,122.4,128.6,6.2,5.07,31.4,37.6,6.2,19.75,33.0,40.4,7.4,22.42,29.0,36.4,7.4,25.52,10,10,0
Sherbrooke_127Q,bv_n70.qasm,0.04,0.1,0.06,150.0,282.1,292.4,10.3,3.65,71.1,81.4,10.3,14.49,65.5,85.3,19.8,30.23,61.5,81.3,19.8,32.2,10,10,0
Sherbrooke_127Q,cat_n35.qasm,0.05,0.04,-0.01,-20.0,71.0,71.0,0.0,0.0,34.0,34.0,0.0,0.0,36.0,36.0,0.0,0.0,34.0,34.0,0.0,0.0,10,10,0
Sherbrooke_127Q,cat_n65.qasm,0.06,0.05,-0.01,-16.67,131.0,131.0,0.0,0.0,64.0,64.0,0.0,0.0,66.0,66.0,0.0,0.0,64.0,64.0,0.0,0.0,10,10,0
Sherbrooke_127Q,cat_state_n22.qasm,0.01,0.01,0.0,0.0,45.0,45.0,0.0,0.0,21.0,21.0,0.0,0.0,23.0,23.0,0.0,0.0,21.0,21.0,0.0,0.0,10,10,0
Sherbrooke_127Q,cat_state_n4.qasm,0.01,0.01,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,10,10,0
Sherbrooke_127Q,cc_n12.qasm,0.06,0.06,0.0,0.0,67.8,69.7,1.9,2.8,18.8,20.7,1.9,10.11,45.4,47.4,2.0,4.41,18.4,20.4,2.0,10.87,10,10,0
Sherbrooke_127Q,cc_n32.qasm,0.22,0.15,-0.07,-31.82,190.6,185.0,-5.6,-2.94,61.6,56.0,-5.6,-9.09,120.6,123.0,2.4,1.99,53.6,56.0,2.4,4.48,10,10,0
Sherbrooke_127Q,cc_n64.qasm,0.65,0.4,-0.25,-38.46,397.4,371.0,-26.4,-6.64,140.4,114.0,-26.4,-18.8,243.4,245.0,1.6,0.66,112.4,114.0,1.6,1.42,10,10,0
Sherbrooke_127Q,deutsch_n2.qasm,0.01,0.01,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,10,10,0
Sherbrooke_127Q,dnn_n16.qasm,0.04,0.03,-0.01,-25.0,77.4,76.1,-1.3,-1.68,61.4,60.1,-1.3,-2.12,13.7,13.6,-0.1,-0.73,12.7,12.6,-0.1,-0.79,10,10,0
Sherbrooke_127Q,dnn_n2.qasm,0.01,0.01,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,10,10,0
Sherbrooke_127Q,dnn_n33.qasm,0.07,0.04,-0.03,-42.86,1022.4,1040.2,17.8,1.74,250.4,268.2,17.8,7.11,367.5,373.7,6.2,1.69,129.5,135.4,5.9,4.56,10,10,0
Sherbrooke_127Q,dnn_n51.qasm,0.12,0.08,-0.04,-33.33,1610.8,1651.2,40.4,2.51,406.8,447.2,40.4,9.93,572.3,576.6,4.3,0.75,201.7,217.1,15.4,7.64,10,10,0
Sherbrooke_127Q,dnn_n8.qasm,0.02,0.01,-0.01,-50.0,46.7,46.8,0.1,0.21,38.7,38.8,0.1,0.26,14.6,14.5,-0.1,-0.68,13.6,13.5,-0.1,-0.74,10,10,0
Sherbrooke_127Q,error_correctiond3_n5.qasm,0.01,0.01,0.0,0.0,102.0,101.0,-1.0,-0.98,39.0,38.0,-1.0,-2.56,63.5,63.0,-0.5,-0.79,36.1,36.0,-0.1,-0.28,10,10,0
Sherbrooke_127Q,fredkin_n3.qasm,0.01,0.01,0.0,0.0,24.0,24.0,0.0,0.0,10.0,10.0,0.0,0.0,15.0,15.0,0.0,0.0,10.0,10.0,0.0,0.0,10,10,0
Sherbrooke_127Q,gcm_h6.qasm,0.1,0.06,-0.04,-40.0,1524.1,1483.6,-40.5,-2.66,626.1,610.6,-15.5,-2.48,1291.9,1290.7,-1.2,-0.09,622.8,589.6,-33.2,-5.33,10,10,0
Sherbrooke_127Q,ghz_n40.qasm,0.05,0.05,0.0,0.0,81.0,81.0,0.0,0.0,39.0,39.0,0.0,0.0,41.0,41.0,0.0,0.0,39.0,39.0,0.0,0.0,10,10,0
Sherbrooke_127Q,ghz_n78.qasm,0.06,0.06,0.0,0.0,157.0,157.0,0.0,0.0,77.0,77.0,0.0,0.0,79.0,79.0,0.0,0.0,77.0,77.0,0.0,0.0,10,10,0
